id,insee_code,town_name,zip_code,routing_label,line_5,geopoint
27352,08471,VERRIERES,08390,VERRIERES,NULL,0101000020E610000062A2410A9E8A13407A1FFDE549BF4840
27353,08472,VIEL ST REMY,08270,VIEL ST REMY,NULL,0101000020E610000081DC8F25BDED11409EF6EF5506D14840
27354,08472,VIEL ST REMY,08270,VIEL ST REMY,MARGY,0101000020E610000081DC8F25BDED11409EF6EF5506D14840
27355,08473,VIEUX LES ASFELD,08190,VIEUX LES ASFELD,NULL,0101000020E6100000F41F2D29D2701040C4EDD0B018BA4840
27356,08476,VILLERS DEVANT LE THOUR,08190,VILLERS DEVANT LE THOUR,NULL,0101000020E6100000C32CB4739A511040A37AC6199EC04840
27357,08477,VILLERS DEVANT MOUZON,08210,VILLERS DEVANT MOUZON,NULL,0101000020E61000007C348B06DF0E1440AF473C3487D04840
27358,08478,VILLERS LE TILLEUL,08430,VILLERS LE TILLEUL,NULL,0101000020E610000060234910AEE812400CE313573AD04840
27359,08479,VILLERS LE TOURNEUR,08430,VILLERS LE TOURNEUR,NULL,0101000020E610000088CCA66D0D3E124070A186CA9ACF4840
27360,08480,VILLERS SEMEUSE,08000,VILLERS SEMEUSE,NULL,0101000020E6100000C8293A92CB031340A70F13C3C4DE4840
27361,08481,VILLERS SUR BAR,08350,VILLERS SUR BAR,NULL,0101000020E61000001423A69FCB6B1340EBFC80AC4CD74840
27362,08482,VILLERS SUR LE MONT,08430,VILLERS SUR LE MONT,NULL,0101000020E61000009E8B7560EFB4124056AFC7E910D54840
27363,08483,VILLE SUR LUMES,08440,VILLE SUR LUMES,NULL,0101000020E61000000565BF93BB2C13408AD3FF28A0E04840
27364,08484,VILLE SUR RETOURNE,08310,VILLE SUR RETOURNE,NULL,0101000020E610000041ADB36B8CCB1140DCA8047A97B24840
27365,08485,VILLY,08370,VILLY,NULL,0101000020E61000007B9807FA55E2144092EE42CED6CB4840
27366,08486,VIREUX MOLHAIN,08320,VIREUX MOLHAIN,NULL,0101000020E6100000AC9A311697D0124016F3188AE0094940
27367,08487,VIREUX WALLERAND,08320,VIREUX WALLERAND,NULL,0101000020E6100000F4273B472E011340BE767AEF39074940
27368,08488,VIVIER AU COURT,08440,VIVIER AU COURT,NULL,0101000020E6100000D12A8E5E68491340325BB22AC2DD4840
27369,08489,VONCQ,08400,VONCQ,NULL,0101000020E61000000216AF6829C31240AE30D86894BC4840
27370,08490,VOUZIERS,08400,VOUZIERS,NULL,0101000020E61000003250638C59D41240F4CB16FFADB54840
27371,08490,VOUZIERS,08400,VOUZIERS,BLAISE,0101000020E61000003250638C59D41240F4CB16FFADB54840
27372,08490,VOUZIERS,08400,VOUZIERS,TERRON SUR AISNE,0101000020E61000003250638C59D41240F4CB16FFADB54840
27373,08490,VOUZIERS,08400,VOUZIERS,VRIZY,0101000020E61000003250638C59D41240F4CB16FFADB54840
27374,08491,VRIGNE AUX BOIS,08330,VRIGNE AUX BOIS,NULL,0101000020E6100000F6BCD17DEF75134064473E0AB2E04840
27375,08491,VRIGNE AUX BOIS,08350,VRIGNE AUX BOIS,BOSSEVAL ET BRIANCOURT,0101000020E6100000F6BCD17DEF75134064473E0AB2E04840
27376,08492,VRIGNE MEUSE,08350,VRIGNE MEUSE,NULL,0101000020E61000002F9974A5AF551340F83BCA775FDA4840
